Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,Listing Gain
2011-10-19,Taksheel Solutions Ltd,82.5,0.24,4.7,6.18,2.99,150.0,4.93
2011-10-24,Vaswani Industries Ltd,49.0,0.16,11.29,6.83,4.16,49.0,-31.73
2012-03-09,Multi Commodity Exchange of India Ltd,663.31,49.12,150.35,24.14,54.13,1032.0,34.4
2012-03-28,Olympic Cards Ltd,24.75,0.0,3.44,1.36,0.99,30.0,-0.17
2012-04-12,NBCC (India) Ltd,124.97,7.07,1.7,3.4,4.93,106.0,-5.66
2012-04-12,MT Educare Ltd,99.0,6.01,8.0,2.17,4.8,80.0,7.56
2012-05-30,Speciality Restaurants Ltd,176.09,4.68,2.19,0.55,2.54,150.0,2.0
2012-07-18,VKS Projects Ltd,55.0,1.15,0.38,1.13,1.03,55.0,1.45
2012-12-06,Tara Jewels Ltd,179.5,1.49,3.1,2.05,1.98,230.0,5.22
2012-12-26,CARE Ratings Ltd,539.98,45.8,110.96,6.18,40.98,750.0,26.53
2012-12-27,PC Jeweller Ltd,601.31,7.33,18.12,1.68,6.85,135.0,0.37
2012-12-28,Indus Towers Ltd,4172.76,2.84,0.29,0.19,1.3,220.0,-9.09
2013-02-20,V-Mart Retail Ltd,94.42,1.52,1.39,0.79,1.2,210.0,2.86
2013-04-01,Repco Home Finance Ltd,270.23,3.39,0.35,0.51,1.65,172.0,-4.07
2013-06-05,Just Dial Ltd,919.14,10.12,22.34,3.53,11.63,530.0,11.32
2013-12-19,Power Grid Corporation of India Ltd,6958.64,115.9,40.34,6.77,64.82,90.0,7.89
2014-09-12,Snowman Logistics Ltd,197.4,16.98,221.79,41.26,59.75,47.0,59.57
2014-09-23,Sharda Cropchem Ltd,351.86,32.06,251.35,5.85,59.97,156.0,62.88
2014-10-01,Shemaroo Entertainment Ltd,120.0,5.69,8.64,7.79,7.39,170.0,5.88
2014-12-19,Monte Carlo Fashions Ltd,350.43,13.96,1.71,6.96,7.83,645.0,-9.3
2015-03-19,Ortel Communications Ltd,174.71,1.01,0.09,0.39,0.75,181.0,0.0
2015-04-06,Imagicaaworld Entertainment Ltd,374.59,1.17,0.7,1.37,1.11,180.0,-6.69
2015-04-09,Inox Wind Ltd,1020.53,35.68,35.38,2.15,18.6,325.0,23.08
2015-04-30,VRL Logistics Ltd,467.88,58.22,250.86,7.92,74.26,205.0,40.49
2015-05-14,UFO Moviez India Ltd,600.0,4.49,1.17,1.02,2.04,625.0,-4.0
2015-05-26,PNC Infratech Ltd,488.44,4.51,0.65,0.28,1.56,378.0,0.79
2015-07-09,Manpasand Beverages Ltd,400.0,1.98,0.38,1.16,1.4,320.0,-9.06
2015-08-11,Syngene International Ltd,550.0,51.47,90.24,4.78,32.05,250.0,18.0
2015-08-26,Power Mech Projects Ltd,273.22,27.53,133.22,3.42,38.12,640.0,-6.25
2015-09-09,Navkar Corporation Ltd,600.0,6.47,0.9,1.62,2.85,155.0,-1.94
2015-09-10,Pennar Engineered Building Systems Ltd,156.19,2.2,1.44,0.41,1.15,178.0,-15.73
2015-09-16,Sadbhav Infrastructure Project Ltd,491.66,3.04,1.66,1.68,2.24,103.0,7.52
2015-09-21,Madhyam Agrivet Industries Ltd,362.57,0.88,1.42,0.34,0.77,115.0,0.0
2015-11-16,S H Kelkar & Company Ltd,508.17,4.68,1.14,0.47,1.84,180.0,23.33
2015-12-23,Alkem Laboratories Ltd,1347.76,57.19,129.96,3.17,44.29,1050.0,31.43
2016-01-06,Narayana Hrudayalaya Ltd,613.08,24.43,3.62,1.89,8.7,250.0,16.4
2016-02-08,Precision Camshafts Ltd,410.19,2.62,0.73,2.01,1.91,186.0,-12.31
