Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,Listing Gain
2025-01-17,Capital Infra Trust,1578.0,0.58,4.24,0.0,2.23,99.0,0.0
2025-01-20,Laxmi Dental Limited,698.06,110.38,147.95,76.24,114.42,428.0,23.36
2025-01-29,Denta Water & Infrastructure Limited,220.5,236.94,507.27,90.56,221.68,294.0,12.24
2025-02-04,Dr Agarwal's Healthcare Limited,3027.26,4.64,0.4,0.41,1.55,402.0,-1.27
2025-02-19,Hexaware Technologies Limited,8750.0,9.09,0.2,0.11,2.66,708.0,3.25
2025-02-24,Quality Power Electronics Limited,858.7,1.03,1.45,1.83,1.29,425.0,1.66
2025-05-06,Ather Energy Limited,2980.8,1.7,0.66,1.78,1.43,321.0,1.57
2025-05-27,Borana Weaves Limited,144.89,87.21,237.42,200.53,148.78,216.0,12.5
2025-05-28,Belrise Industries Limited,2150.0,108.35,38.33,4.27,41.3,90.0,9.44
2025-06-02,Aegis Vopak Terminals Limited,2800.0,3.3,0.56,0.77,2.09,235.0,-6.38
2025-06-02,Schloss Bangalore Limited,3500.0,7.46,1.02,0.83,4.5,435.0,-6.55
2025-06-03,Prostarm Info Systems Limited,168.0,104.49,222.14,39.49,97.2,105.0,19.05
2025-06-04,Scoda Tubes Limited,220.0,69.51,113.03,19.4,53.78,140.0,0.0
2025-06-20,Oswal Pumps Limited,1387.34,88.08,36.7,3.6,34.42,614.0,2.93
2025-06-25,Arisinfra Solutions Limited,499.6,1.42,3.14,5.59,2.65,222.0,-5.81
2025-07-01,Ellenbarrie Industrial Gases Limited,852.53,64.23,15.21,2.14,22.19,400.0,23.0
2025-07-01,Kalpataru Limited,1590.0,3.12,1.31,1.29,2.26,414.0,0.02
2025-07-01,Globe Civil Projects Limited,119.0,99.76,143.15,53.72,86.04,71.0,28.31
2025-07-02,HDB Financial Services Limited,12500.0,55.47,9.99,1.41,16.69,740.0,12.84
2025-07-03,Indogulf Cropsciences Limited,200.0,33.26,48.39,14.78,25.98,111.0,0.0
2025-07-09,Crizac Limited,860.0,134.35,76.15,10.24,59.82,245.0,14.29
2025-07-14,Travel Food Services Limited,2000.0,7.7,1.58,0.69,2.88,1100.0,2.38
2025-07-30,Indiqube Spaces Limited,700.0,14.35,8.27,12.9,12.41,237.0,-7.72
2025-07-30,GNG Electronics Limited,460.44,266.21,227.67,46.84,147.93,237.0,47.68
2025-08-01,Shanti Gold International Ltd,360.11,117.33,151.48,30.37,81.17,199.0,15.13
2025-08-05,Aditya Infotech Ltd,1300.0,133.21,72.0,50.87,100.69,675.0,50.81
2025-08-05,Laxmi India Finance Ltd,254.26,1.3,1.84,2.22,1.87,158.0,-13.92
2025-08-06,Sri Lotus Developers & Realty Ltd,792.0,163.9,57.71,20.28,69.14,150.0,19.4
2025-08-06,M & B Engineering Ltd,650.0,36.72,38.24,32.55,36.2,385.0,0.26
2025-08-14,All Time Plastics Ltd,400.6,10.15,13.47,5.14,8.34,275.0,14.29
2025-08-14,JSW Cement Ltd,3600.0,15.8,10.97,1.81,7.77,147.0,4.08
2025-08-18,Highway Infrastructure Ltd,130.0,420.57,447.32,155.58,300.61,70.0,67.14
2025-08-18,Knowledge Realty Trust,4800.0,6.75,15.51,0.0,10.73,100.0,4.0
2025-08-19,Bluestone Jewellers Ltd,1540.65,4.28,0.55,1.35,2.7,517.0,-1.59
2025-08-20,Regaal Resources Ltd,306.0,190.97,356.73,57.75,159.88,102.0,39.02
2025-08-26,Gem Aromatics Ltd,451.25,55.28,45.06,10.31,30.27,325.0,0.0
2025-08-26,Patel Retail Ltd,242.76,272.43,108.18,42.49,95.7,255.0,19.61
2025-08-26,Shreeji Shipping Group Ltd,410.71,110.41,72.7,21.94,58.1,252.0,7.88
2025-08-26,Vikram Solar Ltd,2079.37,142.79,50.9,7.65,54.63,332.0,2.41
2025-08-28,Mangal Electricals Ltd,400.0,10.54,18.79,4.84,9.46,561.0,-0.53
2025-09-03,Vikran Engineering Ltd,772.0,19.45,58.58,10.97,23.59,97.0,2.78
2025-09-03,Anlon Healthcare Ltd,121.03,1.07,10.61,47.29,7.12,91.0,0.0
2025-09-09,Amanta Healthcare Ltd,126.0,35.86,209.42,54.98,82.61,126.0,6.35
2025-09-17,Urban Company Ltd,1900.0,140.2,74.04,39.25,103.63,103.0,56.31
2025-09-17,Shringar House of Manglam Ltd,400.95,101.41,82.58,27.22,60.29,165.0,13.76
2025-09-17,Dev Accelerator Ltd,143.35,20.3,87.97,164.72,63.97,61.0,0.49
2025-09-23,Euro Pratik Sales Ltd,451.31,1.05,1.92,1.23,1.34,247.0,10.71
2025-09-24,VMS TMT Ltd,148.5,120.8,227.09,47.88,102.26,99.0,6.06
2025-09-25,Ivalue Infosolutions Ltd,560.29,3.18,1.26,1.28,1.82,299.0,-4.68
